timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
591,-6.98032839241,-6.28987467946,-5.96638871939,-5.73148397379,-2.5716429179,-2.18898272248,-1.41665246614,-0.871917477582,-0.692208857096
596,-6.98060381366,-6.29099642287,-5.96697155304,-5.73061198248,-2.57070366034,-2.18883447515,-1.41608889826,-0.869109603306,-0.693542731681
601,-6.9808798428,-6.29210127769,-5.96755721407,-5.72974316663,-2.56976444558,-2.18869005614,-1.41553325891,-0.866339922064,-0.694882595877
606,-6.98115649089,-6.293189081,-5.96814570794,-5.72887762344,-2.56882536719,-2.18854948489,-1.41498555998,-0.863609358196,-0.696228373317
611,-6.98143376715,-6.29425966647,-5.96873703656,-5.72801545249,-2.5678865166,-2.18841276226,-1.41444582112,-0.860918816088,-0.697579992298
616,-6.98171167147,-6.29531287577,-5.96933119963,-5.72715674809,-2.56694797972,-2.18827989927,-1.41391407289,-0.858269174596,-0.698937361914
621,-6.98199018599,-6.29634853076,-5.96992816793,-5.72630158529,-2.56600982726,-2.18815089133,-1.41339030973,-0.855661256162,-0.700300379725
626,-6.98226935885,-6.29736653302,-5.97052798169,-5.72545008119,-2.56507217877,-2.18802577252,-1.41287457171,-0.853095884438,-0.701668991626
631,-6.98254917966,-6.29836673501,-5.9711306325,-5.7246023059,-2.56413511151,-2.18790452047,-1.41236685262,-0.850573819116,-0.703043091115
636,-6.98282966456,-6.29934900363,-5.97173613347,-5.72375835513,-2.56319871657,-2.18778715595,-1.41186717629,-0.848095783821,-0.704422603384
641,-6.98311082052,-6.30031317647,-5.97234449021,-5.7229183121,-2.56226309354,-2.18767368395,-1.41137555825,-0.84566254595,-0.705807433079
646,-6.983392667,-6.30125912446,-5.97295571408,-5.72208226884,-2.56132833648,-2.18756411672,-1.41089201938,-0.843274761655,-0.707197486444
651,-6.98367520741,-6.30218673113,-5.97356981304,-5.72125029975,-2.56039453056,-2.18745843866,-1.41041656513,-0.84093309934,-0.708592655314
656,-6.98395843885,-6.30309588567,-5.97418679332,-5.72042248839,-2.55946176507,-2.18735666264,-1.4099492188,-0.838638201169,-0.709992810778
661,-6.98424236361,-6.30398647185,-5.97480665467,-5.71959890898,-2.55853011582,-2.18725878639,-1.40948998048,-0.836390686094,-0.711397826078
666,-6.98452699176,-6.3048583932,-5.975429407,-5.71877964464,-2.55759967217,-2.18716480395,-1.40903887153,-0.834191138692,-0.712807576394
671,-6.98481232781,-6.30571152466,-5.97605505811,-5.71796476559,-2.55667052021,-2.18707471758,-1.40859589537,-0.832040132743,-0.714221927344
676,-6.98509837934,-6.30654575718,-5.9766836078,-5.71715434421,-2.55574274133,-2.18698852765,-1.40816105771,-0.829938199275,-0.715640731374
681,-6.98538516012,-6.30736098563,-5.97731506886,-5.71634845101,-2.55481642237,-2.18690623192,-1.40773436436,-0.827885896474,-0.71706384634
686,-6.985672672,-6.30815711521,-5.97794945151,-5.71554715815,-2.55389165264,-2.18682782426,-1.40731583109,-0.82588377058,-0.71849110255
691,-6.98596091693,-6.30893405592,-5.97858677006,-5.7147505268,-2.55296850468,-2.1867532982,-1.40690547904,-0.823932286495,-0.719922322548
696,-6.98624990103,-6.30969171304,-5.97922703143,-5.71395862912,-2.552047068,-2.1866826535,-1.40650332492,-0.822031944024,-0.721357320477
701,-6.98653963925,-6.3104299939,-5.97987024183,-5.7131715305,-2.55112742857,-2.18661589037,-1.40610938175,-0.820183239784,-0.722795892059
706,-6.986830128,-6.31114881598,-5.98051640902,-5.71238929626,-2.55020966876,-2.18655301276,-1.40572367311,-0.818386634363,-0.724237812956
711,-6.98712138283,-6.31184809404,-5.98116554178,-5.71161199386,-2.54929387221,-2.18649401286,-1.40534621532,-0.816642641597,-0.725682847878
716,-6.98741340556,-6.3125277375,-5.98181763795,-5.71083968233,-2.54838013115,-2.18643889545,-1.40497702148,-0.814951653949,-0.727130738575
721,-6.98770621514,-6.31318766112,-5.98247271147,-5.71007242303,-2.54746852934,-2.18638765521,-1.40461610062,-0.813314230829,-0.728581210082
726,-6.98799981395,-6.31382777174,-5.98313076071,-5.70931027051,-2.5465591524,-2.18634028109,-1.40426347922,-0.811730754081,-0.730033959459
731,-6.98829421074,-6.31444799937,-5.98379179606,-5.7085532867,-2.5456520742,-2.1862967656,-1.40391916168,-0.810201736898,-0.731488646479
736,-6.98858940781,-6.31504827975,-5.98445582509,-5.70780152977,-2.54474738005,-2.18625709655,-1.40358317508,-0.80872765627,-0.732944912599
